datetime,grdpiece
2020-12-19 17:57:29,7.4
2020-12-19 18:12:29,7.4
2020-12-19 18:27:29,7.4
2020-12-19 18:42:29,7.4
2020-12-19 18:57:29,7.5
2020-12-19 19:12:29,7.5
2020-12-19 19:27:29,7.5
2020-12-19 19:42:29,7.5
2020-12-19 19:57:29,7.5
2020-12-19 20:12:29,7.5
2020-12-19 20:27:29,7.5
2020-12-19 20:42:29,7.5
2020-12-19 20:57:29,7.5
2020-12-19 21:12:29,7.5
2020-12-19 21:27:29,7.5
2020-12-19 21:42:29,7.5
2020-12-19 21:57:29,7.5
2020-12-19 22:12:29,7.5
2020-12-19 22:27:29,7.5
2020-12-19 22:42:29,7.5
2020-12-19 22:57:29,7.5
2020-12-19 23:12:29,7.5
2020-12-19 23:27:29,7.5
2020-12-19 23:42:29,7.5
2020-12-19 23:57:29,7.5
2020-12-20 00:12:29,7.5
2020-12-20 00:27:29,7.5
2020-12-20 00:42:29,7.5
2020-12-20 00:57:29,7.5
2020-12-20 01:12:29,7.5
2020-12-20 01:27:29,7.5
2020-12-20 01:42:29,7.5
2020-12-20 01:57:29,7.5
2020-12-20 02:12:29,7.5
2020-12-20 02:27:29,7.5
2020-12-20 02:42:29,7.5
2020-12-20 02:57:29,7.5
2020-12-20 03:12:29,7.5
2020-12-20 03:27:29,7.5
2020-12-20 03:42:29,7.5
2020-12-20 03:57:29,7.5
2020-12-20 04:12:29,7.5
2020-12-20 04:27:29,7.5
2020-12-20 04:42:29,7.5
2020-12-20 04:57:29,7.5
2020-12-20 05:12:29,7.5
2020-12-20 05:27:29,7.5
2020-12-20 05:42:29,7.5
2020-12-20 05:57:29,7.5
2020-12-20 06:12:29,7.5
2020-12-20 06:27:29,7.5
2020-12-20 06:42:29,7.5
2020-12-20 06:57:29,7.5
2020-12-20 07:12:29,7.5
2020-12-20 07:27:29,7.5
2020-12-20 07:42:29,7.5
2020-12-20 07:57:29,7.6
2020-12-20 08:12:29,7.5
2020-12-20 08:27:29,7.6
2020-12-20 08:42:29,7.6
2020-12-20 08:57:29,7.6
2020-12-20 09:12:29,7.6
2020-12-20 09:27:29,7.6
2020-12-20 09:42:29,7.6
2020-12-20 09:57:29,7.6
2020-12-20 10:12:29,7.6
2020-12-20 10:27:29,7.6
2020-12-20 10:42:29,7.6
2020-12-20 10:57:29,7.6
2020-12-20 11:12:29,7.6
2020-12-20 11:27:29,7.6
2020-12-20 11:42:29,7.6
2020-12-20 11:57:29,7.6
2020-12-20 12:12:29,7.6
2020-12-20 12:27:29,7.6
2020-12-20 12:42:29,7.6
2020-12-20 12:57:29,7.6
2020-12-20 13:12:29,7.6
2020-12-20 13:27:29,7.6
2020-12-20 13:42:29,7.6
2020-12-20 13:57:29,7.6
2020-12-20 14:12:29,7.6
2020-12-20 14:27:29,7.6
2020-12-20 14:42:29,7.7
2020-12-20 14:57:29,7.7
2020-12-20 15:12:29,7.7
2020-12-20 15:27:29,7.7
2020-12-20 15:42:29,7.7
2020-12-20 15:57:29,7.7
2020-12-20 16:12:29,7.7
2020-12-20 16:27:29,7.7
2020-12-20 16:42:29,7.7
2020-12-20 16:57:29,7.7
2020-12-20 17:12:29,7.7
2020-12-20 17:27:29,7.7
2020-12-20 17:42:29,7.7
2020-12-20 17:57:29,7.7
2020-12-20 18:12:29,7.7
2020-12-20 18:27:29,7.8
2020-12-20 18:42:29,7.8
2020-12-20 18:57:29,7.8
2020-12-20 19:12:29,7.8
2020-12-20 19:27:29,7.8
